ip.src,ip.dst,ip.proto,eth.src,eth.dst,ipv6.src,ipv6.dst,ip.ttl,ip.id,ip.hdr_len,ip.len,ip.flags.df,tcp.stream,tcp.time_delta,tcp.time_relative,tcp.analysis.initial_rtt,tcp.flags,tcp.window_size_value,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,udp.stream,udp.length,icmp.length,http.request.method,http.response.code,http.content_length,ip.ttl
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd0f5,20,369,0,0,0.000000000,0.000000000,,0x0018,14392,20,329,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd0f5,20,369,0,0,0.000000000,0.000000000,,0x0018,14392,20,329,9020,51621,,,,,,,,,255
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4109,20,52,1,1,0.000000000,0.000000000,,0x0002,64240,32,0,60516,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4109,20,52,1,1,0.000000000,0.000000000,,0x0002,64240,32,0,60516,80,,,,,,,,,128
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0f6,20,40,0,1,0.000041000,0.000041000,0.000041000,0x0014,14600,20,0,80,60516,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0f6,20,40,0,1,0.000000000,0.000041000,,0x0014,14600,20,0,80,60516,,,,,,,,,255
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410a,20,52,1,2,0.000000000,0.000000000,,0x0002,64240,32,0,60517,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410a,20,52,1,2,0.000000000,0.000000000,,0x0002,64240,32,0,60517,80,,,,,,,,,128
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0f7,20,40,0,2,0.000093000,0.000093000,0.000093000,0x0014,14600,20,0,80,60517,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0f7,20,40,0,2,0.000000000,0.000093000,,0x0014,14600,20,0,80,60517,,,,,,,,,255
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410d,20,52,1,3,0.000000000,0.000000000,,0x0002,64240,32,0,59275,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410d,20,52,1,3,0.000000000,0.000000000,,0x0002,64240,32,0,59275,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410b,20,52,1,4,0.000000000,0.000000000,,0x0002,64240,32,0,59277,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410b,20,52,1,4,0.000000000,0.000000000,,0x0002,64240,32,0,59277,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410c,20,52,1,5,0.000000000,0.000000000,,0x0002,64240,32,0,59274,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410c,20,52,1,5,0.000000000,0.000000000,,0x0002,64240,32,0,59274,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410f,20,52,1,6,0.000000000,0.000000000,,0x0002,64240,32,0,60518,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410f,20,52,1,6,0.000000000,0.000000000,,0x0002,64240,32,0,60518,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410e,20,52,1,7,0.000000000,0.000000000,,0x0002,64240,32,0,59278,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x410e,20,52,1,7,0.000000000,0.000000000,,0x0002,64240,32,0,59278,80,,,,,,,,,128
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0f9,20,40,0,5,0.000262000,0.000262000,0.000262000,0x0014,14600,20,0,80,59274,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0f9,20,40,0,5,0.000000000,0.000262000,,0x0014,14600,20,0,80,59274,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0fa,20,40,0,3,0.000333000,0.000333000,0.000333000,0x0014,14600,20,0,80,59275,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0fa,20,40,0,3,0.000000000,0.000333000,,0x0014,14600,20,0,80,59275,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0fb,20,40,0,7,0.000132000,0.000132000,0.000132000,0x0014,14600,20,0,80,59278,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0fb,20,40,0,7,0.000000000,0.000132000,,0x0014,14600,20,0,80,59278,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0f8,20,40,0,4,0.000287000,0.000287000,0.000287000,0x0014,14600,20,0,80,59277,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0f8,20,40,0,4,0.000000000,0.000287000,,0x0014,14600,20,0,80,59277,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0fc,20,40,0,6,0.000291000,0.000291000,0.000291000,0x0014,14600,20,0,80,60518,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0fc,20,40,0,6,0.000000000,0.000291000,,0x0014,14600,20,0,80,60518,,,,,,,,,255
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4110,20,52,1,8,0.000000000,0.000000000,,0x0002,64240,32,0,60519,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4110,20,52,1,8,0.000000000,0.000000000,,0x0002,64240,32,0,60519,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4111,20,52,1,9,0.000000000,0.000000000,,0x0002,64240,32,0,59279,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4111,20,52,1,9,0.000000000,0.000000000,,0x0002,64240,32,0,59279,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4112,20,52,1,10,0.000000000,0.000000000,,0x0002,64240,32,0,59283,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4112,20,52,1,10,0.000000000,0.000000000,,0x0002,64240,32,0,59283,80,,,,,,,,,128
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0fd,20,40,0,8,0.000188000,0.000188000,0.000188000,0x0014,14600,20,0,80,60519,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0fd,20,40,0,8,0.000000000,0.000188000,,0x0014,14600,20,0,80,60519,,,,,,,,,255
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4113,20,52,1,11,0.000000000,0.000000000,,0x0002,64240,32,0,59281,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4113,20,52,1,11,0.000000000,0.000000000,,0x0002,64240,32,0,59281,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4114,20,52,1,12,0.000000000,0.000000000,,0x0002,64240,32,0,59286,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4114,20,52,1,12,0.000000000,0.000000000,,0x0002,64240,32,0,59286,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4115,20,52,1,13,0.000000000,0.000000000,,0x0002,64240,32,0,59284,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4116,20,52,1,14,0.000000000,0.000000000,,0x0002,64240,32,0,59289,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4115,20,52,1,13,0.000000000,0.000000000,,0x0002,64240,32,0,59284,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4116,20,52,1,14,0.000000000,0.000000000,,0x0002,64240,32,0,59289,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4118,20,52,1,15,0.000000000,0.000000000,,0x0002,64240,32,0,57633,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4118,20,52,1,15,0.000000000,0.000000000,,0x0002,64240,32,0,57633,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4117,20,52,1,16,0.000000000,0.000000000,,0x0002,64240,32,0,59291,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4117,20,52,1,16,0.000000000,0.000000000,,0x0002,64240,32,0,59291,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411a,20,52,1,17,0.000000000,0.000000000,,0x0002,64240,32,0,59292,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411a,20,52,1,17,0.000000000,0.000000000,,0x0002,64240,32,0,59292,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411c,20,52,1,18,0.000000000,0.000000000,,0x0002,64240,32,0,59285,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411c,20,52,1,18,0.000000000,0.000000000,,0x0002,64240,32,0,59285,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4119,20,52,1,19,0.000000000,0.000000000,,0x0002,64240,32,0,59294,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4119,20,52,1,19,0.000000000,0.000000000,,0x0002,64240,32,0,59294,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411b,20,52,1,20,0.000000000,0.000000000,,0x0002,64240,32,0,59280,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411b,20,52,1,20,0.000000000,0.000000000,,0x0002,64240,32,0,59280,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411d,20,52,1,21,0.000000000,0.000000000,,0x0002,64240,32,0,59276,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411d,20,52,1,21,0.000000000,0.000000000,,0x0002,64240,32,0,59276,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411e,20,52,1,22,0.000000000,0.000000000,,0x0002,64240,32,0,59290,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411e,20,52,1,22,0.000000000,0.000000000,,0x0002,64240,32,0,59290,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411f,20,52,1,23,0.000000000,0.000000000,,0x0002,64240,32,0,59282,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x411f,20,52,1,23,0.000000000,0.000000000,,0x0002,64240,32,0,59282,80,,,,,,,,,128
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd100,20,40,0,11,0.000206000,0.000206000,0.000206000,0x0014,14600,20,0,80,59281,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd100,20,40,0,11,0.000000000,0.000206000,,0x0014,14600,20,0,80,59281,,,,,,,,,255
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4120,20,52,1,24,0.000000000,0.000000000,,0x0002,64240,32,0,59287,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4120,20,52,1,24,0.000000000,0.000000000,,0x0002,64240,32,0,59287,80,,,,,,,,,128
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0fe,20,40,0,9,0.000286000,0.000286000,0.000286000,0x0014,14600,20,0,80,59279,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0fe,20,40,0,9,0.000000000,0.000286000,,0x0014,14600,20,0,80,59279,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0ff,20,40,0,10,0.000299000,0.000299000,0.000299000,0x0014,14600,20,0,80,59283,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd0ff,20,40,0,10,0.000000000,0.000299000,,0x0014,14600,20,0,80,59283,,,,,,,,,255
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4122,20,52,1,25,0.000000000,0.000000000,,0x0002,64240,32,0,59288,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4122,20,52,1,25,0.000000000,0.000000000,,0x0002,64240,32,0,59288,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4121,20,52,1,26,0.000000000,0.000000000,,0x0002,64240,32,0,59295,80,,,,,,,,,128
192.168.18.125,192.168.18.15,6,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x4121,20,52,1,26,0.000000000,0.000000000,,0x0002,64240,32,0,59295,80,,,,,,,,,128
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd101,20,40,0,12,0.000238000,0.000238000,0.000238000,0x0014,14600,20,0,80,59286,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd102,20,40,0,13,0.000382000,0.000382000,0.000382000,0x0014,14600,20,0,80,59284,,,,,,,,,255
192.168.18.15,192.168.18.125,6,78:c1:ae:5a:ef:b1,c8:5b:76:8d:85:50,,,,0xd102,20,40,0,13,0.000000000,0.000382000,,0x0014,14600,20,0,80,59284,,,,,,,,,255
