ip.src,ip.dst,ip.proto,eth.src,eth.dst,ipv6.src,ipv6.dst,ip.ttl,ip.id,ip.hdr_len,ip.len,ip.flags.df,tcp.stream,tcp.time_delta,tcp.time_relative,tcp.analysis.initial_rtt,tcp.flags,tcp.window_size_value,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,udp.stream,udp.length,icmp.length,http.request.method,http.response.code,http.content_length,ip.ttl
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5951,20,28,0,,,,,,,,,,,62339,80,0,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5951,20,28,0,,,,,,,,,,,62339,80,0,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5952,20,28,0,,,,,,,,,,,62340,80,1,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5952,20,28,0,,,,,,,,,,,62340,80,1,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5953,20,28,0,,,,,,,,,,,62341,80,2,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5953,20,28,0,,,,,,,,,,,62341,80,2,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5954,20,28,0,,,,,,,,,,,62342,80,3,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5954,20,28,0,,,,,,,,,,,62342,80,3,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5955,20,28,0,,,,,,,,,,,62343,80,4,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5955,20,28,0,,,,,,,,,,,62343,80,4,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5956,20,28,0,,,,,,,,,,,62344,80,5,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5956,20,28,0,,,,,,,,,,,62344,80,5,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5957,20,28,0,,,,,,,,,,,62345,80,6,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5957,20,28,0,,,,,,,,,,,62345,80,6,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5958,20,28,0,,,,,,,,,,,62346,80,7,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5958,20,28,0,,,,,,,,,,,62346,80,7,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5959,20,28,0,,,,,,,,,,,62347,80,8,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5959,20,28,0,,,,,,,,,,,62347,80,8,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595a,20,28,0,,,,,,,,,,,62348,80,9,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595a,20,28,0,,,,,,,,,,,62348,80,9,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595b,20,28,0,,,,,,,,,,,62349,80,10,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595b,20,28,0,,,,,,,,,,,62349,80,10,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595c,20,28,0,,,,,,,,,,,62350,80,11,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595c,20,28,0,,,,,,,,,,,62350,80,11,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595d,20,28,0,,,,,,,,,,,62351,80,12,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595d,20,28,0,,,,,,,,,,,62351,80,12,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595e,20,28,0,,,,,,,,,,,62352,80,13,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595e,20,28,0,,,,,,,,,,,62352,80,13,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595f,20,28,0,,,,,,,,,,,62353,80,14,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x595f,20,28,0,,,,,,,,,,,62353,80,14,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5960,20,28,0,,,,,,,,,,,62354,80,15,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5960,20,28,0,,,,,,,,,,,62354,80,15,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5961,20,28,0,,,,,,,,,,,62355,80,16,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5961,20,28,0,,,,,,,,,,,62355,80,16,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5962,20,28,0,,,,,,,,,,,62356,80,17,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5962,20,28,0,,,,,,,,,,,62356,80,17,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5963,20,28,0,,,,,,,,,,,62357,80,18,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5963,20,28,0,,,,,,,,,,,62357,80,18,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5964,20,28,0,,,,,,,,,,,62358,80,19,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5964,20,28,0,,,,,,,,,,,62358,80,19,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5965,20,28,0,,,,,,,,,,,62359,80,20,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5965,20,28,0,,,,,,,,,,,62359,80,20,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5966,20,28,0,,,,,,,,,,,62360,80,21,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5966,20,28,0,,,,,,,,,,,62360,80,21,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5967,20,28,0,,,,,,,,,,,62361,80,22,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5967,20,28,0,,,,,,,,,,,62361,80,22,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5968,20,28,0,,,,,,,,,,,62362,80,23,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5968,20,28,0,,,,,,,,,,,62362,80,23,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5969,20,28,0,,,,,,,,,,,62363,80,24,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x5969,20,28,0,,,,,,,,,,,62363,80,24,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596a,20,28,0,,,,,,,,,,,62364,80,25,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596a,20,28,0,,,,,,,,,,,62364,80,25,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596b,20,28,0,,,,,,,,,,,62365,80,26,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596b,20,28,0,,,,,,,,,,,62365,80,26,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596c,20,28,0,,,,,,,,,,,62366,80,27,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596c,20,28,0,,,,,,,,,,,62366,80,27,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596d,20,28,0,,,,,,,,,,,62367,80,28,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596d,20,28,0,,,,,,,,,,,62367,80,28,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596e,20,28,0,,,,,,,,,,,62368,80,29,8,,,,,63
192.168.18.125,192.168.18.15,17,c8:5b:76:8d:85:50,78:c1:ae:5a:ef:b1,,,,0x596e,20,28,0,,,,,,,,,,,62368,80,29,8,,,,,63
